id,latitude,longitude,deities_recorded,deity_groups,families,structure,images_present,temple_name,distance_to_ganga_m,hotspot_class
1,25.260606,82.986956,Siva-Parvati,Shiva-Parvati,Shaiva,Tree,1,,294,0
2,25.259706,82.982761,"Siva,Rama family,Hanuman,Ganesh","Ganesh,Hanuman,Rama,Shiva","Ganesh,Hanuman,Shaiva,Vaishnava",Tree,20,,252,0
3,25.266572,82.998014,"Siva,Siva-Parvati,Sitla Maa,Devi,Other","Devi,Other,Shiva,Shiva-Parvati,Sitala Maa","Goddess,Other,Shaiva",Tree,6,,623,0
4,25.271564,82.988642,Siva,Shiva,Shaiva,Free-standing,1,,714,0
5,25.272954,82.986442,Siva-Parvati,Shiva-Parvati,Shaiva,Tree,2,,929,0
6,25.292615,83.00134,Ganesh,Ganesh,Ganesh,Free-standing,1,Mrtyunjaya,247,0
7,25.299802,82.999012,"Siva,Hanuman,Devi","Devi,Hanuman,Shiva","Goddess,Hanuman,Shaiva",Tree-temple,6,,312,0
8,25.300054,82.99925,__ Bir Baabaa,Bir Baba,Folk,Free-standing,1,,349,0
9,25.30016,82.99889,Ganesh,Ganesh,Ganesh,Free-standing,1,,334,0
10,25.30442,83.00719,Hanuman,Hanuman,Hanuman,Built into a wall,1,,166,3
11,25.304757,83.007329,Siva,Shiva,Shaiva,Built into a wall,3,,168,3
12,25.303584,83.006195,Siva,Shiva,Shaiva,Temple complex,1,,227,3
13,25.304616,83.007743,Siva,Shiva,Shaiva,Built into a wall,6,,123,3
14,25.304852,83.007933,"__ Bir Baabaa,Ganesh","Bir Baba,Ganesh","Folk,Ganesh",Built into a wall,2,,118,3
15,25.305934,83.008837,Siva,Shiva,Shaiva,Built into a wall,2,,115,3
16,25.306411,83.008725,Siva,Shiva,Shaiva,Built into a wall,4,,154,3
17,25.306365,83.008809,Ganesh,Ganesh,Ganesh,Built into a wall,5,,144,3
18,25.306932,83.009491,"Hanuman,Devi,Siva,Siva-Parvati","Devi,Hanuman,Shiva,Shiva-Parvati","Goddess,Hanuman,Shaiva",Free-standing,4,,113,3
19,25.306734,83.009524,Siva,Shiva,Shaiva,Built into a wall,7,,101,3
20,25.306827,83.009471,Siva,Shiva,Shaiva,Built into a wall,3,,111,3
21,25.306767,83.009325,Siva,Shiva,Shaiva,Built into a wall,1,,120,3
22,25.306716,83.009093,Hanuman,Hanuman,Hanuman,Built into a wall,1,,138,3
23,25.306812,83.008964,Siva,Shiva,Shaiva,Free-standing,1,,154,3
24,25.306704,83.008936,Siva,Shiva,Shaiva,Free-standing,1,,151,3
25,25.306643,83.008893,Siva,Shiva,Shaiva,Free-standing,1,,151,3
26,25.306782,83.009155,Siva,Shiva,Shaiva,Built into a wall,1,,136,3
27,25.306518,83.00922,"Siva-Parvati,Siva","Shiva,Shiva-Parvati",Shaiva,Built-around,4,,116,3
28,25.30659,83.009141,Siva,Shiva,Shaiva,Free-standing,0,,127,3
29,25.306338,83.009223,Siva,Shiva,Shaiva,Built into a wall,1,,106,3
30,25.306257,83.009435,Siva,Shiva,Shaiva,Built into a wall,1,,83,3
31,25.306415,83.009408,Siva,Shiva,Shaiva,Built into a wall,1,,94,3
32,25.306205,83.008591,Siva,Shiva,Shaiva,Built into a wall,1,,153,3
33,25.306565,83.007951,"Siva,Ganesh","Ganesh,Shiva","Ganesh,Shaiva",Built into a wall,5,,228,3
34,25.306579,83.007633,"Siva,Ganesh","Ganesh,Shiva","Ganesh,Shaiva",Built-around,2,,251,3
35,25.305497,83.006981,"Hanuman,Siva","Hanuman,Shiva","Hanuman,Shaiva",Built into a wall,2,,237,3
36,25.305145,83.007036,Siva,Shiva,Shaiva,Built-around,3,,213,3
37,25.30523,83.00715,"Siva,Ganesh","Ganesh,Shiva","Ganesh,Shaiva",Built-around,3,,207,3
38,25.305061,83.006749,Ganesh,Ganesh,Ganesh,Built-around,1,,235,3
39,25.305609,83.007505,Siva,Shiva,Shaiva,Free-standing,5,,199,3
40,25.305444,83.007601,Siva,Shiva,Shaiva,Free-standing,3,,181,3
41,25.305487,83.007565,Hanuman,Hanuman,Hanuman,Built into a wall,1,,187,3
42,25.305432,83.007813,Siva,Shiva,Shaiva,Built-around,1,,162,3
43,25.305325,83.007645,Ganesh,Ganesh,Ganesh,Built into a wall,1,,170,3
44,25.305446,83.007831,Siva,Shiva,Shaiva,Built-around,2,,161,3
45,25.305391,83.008512,Siva,Shiva,Shaiva,Free-standing,2,,100,3
46,25.305419,83.008559,"Ganesh,Siva","Ganesh,Shiva","Ganesh,Shaiva",Free-standing,4,,98,3
47,25.306011,83.009153,Siva,Shiva,Shaiva,Free-standing,1,,94,3
48,25.306974,83.009229,Siva,Shiva,Shaiva,Free-standing,1,,140,3
49,25.307152,83.009232,Siva,Shiva,Shaiva,Free-standing,2,,146,3
50,25.307464,83.009343,"Siva,Devi,__ Bir Baabaa,Ganesh","Bir Baba,Devi,Ganesh,Shiva","Folk,Ganesh,Goddess,Shaiva","Free-standing,Tree",5,,152,3
51,25.307236,83.009504,Siva,Shiva,Shaiva,Free-standing,2,,125,3
52,25.307421,83.009603,Siva,Shiva,Shaiva,"Free-standing,Tree-temple",7,,127,3
53,25.271064,82.969449,Ganesh,Ganesh,Ganesh,Free-standing,1,,35,0
54,25.27005,82.96973,Siva,Shiva,Shaiva,Tree,1,,146,0
55,25.271211,82.977442,Siva,Shiva,Shaiva,Free-standing,1,,298,0
56,25.270547,82.977689,Other,Other,Other,Tree,0,,372,0
57,25.271207,82.976358,Hanuman,Hanuman,Hanuman,Tree,1,,229,0
58,25.271255,82.97642,"Siva,Hanuman","Hanuman,Shiva","Hanuman,Shaiva",Free-standing,2,,228,0
